Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL,Campaign ID,Campaign Name
99646,Water Kefir | Fermented Probiotic Ginger Ale For Rs.249,The Good Bug,Health & Beauty,"Enjoy the unique taste of our handcrafted Water Kefir.Specially priced at Rs.249 for a limited period.Perfect for every customer, whether new or loyal.Don’t miss out - claim yours now!",,"",https://linksredirect.com/?pub_id=203477&url=https://thegoodbug.com/,live,2025-05-22,2027-09-30,22/05/2025,https://cdn0.cuelinks.com/campaigns/5786/original/logo20250811-2184298-uj7h18.jpg?1754903971,5786,The Good Bug
99647,Save Rs.400 on Essential Weight Management Kit,The Good Bug,"Food & Grocery,Entertainment,Services","Score an incredible Rs.400 off on the 1-month weight management kit.Treat yourself for just Rs.2199 and take charge.With 30 sachets, your path to wellness is ready!Act fast—shop now and transform your routine!",,"",https://linksredirect.com/?pub_id=203477&url=https://thegoodbug.com/,live,2025-05-22,2027-12-31,22/05/2025,https://cdn0.cuelinks.com/campaigns/5786/original/logo20250811-2184298-uj7h18.jpg?1754903971,5786,The Good Bug
99648,Big Savings Alert: Rs.1500 Off on Your PCOS Balance - Just Rs.2699!,The Good Bug,"Food & Grocery,Entertainment,Services",Claim your Rs.1500 discount on 3 months of PCOS Balance.Now at only Rs.2699 - incredible value!Comes with 90 handy sticks designed for hormonal balance.This offer is valid for both new and existing customers!,,"",https://linksredirect.com/?pub_id=203477&url=https://thegoodbug.com/,live,2025-05-22,2028-05-31,22/05/2025,https://cdn0.cuelinks.com/campaigns/5786/original/logo20250811-2184298-uj7h18.jpg?1754903971,5786,The Good Bug
99683,Prune Promo Code - Get Door To Door SIM Delivery,Trail,Recharge,Experience hassle-free SIM delivery directly to your door.Everyone can use this fantastic opportunity.Shop conveniently on the Prune site or app.Don’t wait - Shop Now and get connected!,,"",https://linksredirect.com/?pub_id=203477&url=https://prune.co.in/,live,2025-05-22,2027-04-30,22/05/2025,https://cdn0.cuelinks.com/uploads/images/Placeholder-Campaign.png,8185,Trail
99694,Get 1 Year of Free Malware Protection!,Namecheap,Services,Experience one year of free malware protection!Your benefits includeAdvanced scanning that adapts to new threatsQuick and easy malware removal solutionsInsightful threat reporting at your fingertipsCleaning your database for faster load times2GB backup to safeguard your website dataReceive a trust badge for credibilityValid for all users - don’t miss out!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.namecheap.com/,live,2025-05-22,2026-12-31,22/05/2025,https://cdn0.cuelinks.com/campaigns/197/original/namecheap.png?1348118997,197,Namecheap - US
99697,Try Exciting Apps with Free Trials Today!,Namecheap,Services,Get started with apps for free!Available options include:Site Maker to design your site effortlesslyFastVPN for private browsing protection,,"",https://linksredirect.com/?pub_id=203477&url=https://www.namecheap.com/,live,2025-05-22,2027-12-22,22/05/2025,https://cdn0.cuelinks.com/campaigns/197/original/namecheap.png?1348118997,197,Namecheap - US
99720,Get 13% Off Your .NET Website Domain!,Namecheap,Services,Get your .net domain for only $12.98!Enjoy an incredible 13% off every year.Benefit from 24/7 support to guide you through.Seize this limited-time offer and boost your brand online!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.namecheap.com/,live,2025-05-23,2028-03-31,23/05/2025,https://cdn0.cuelinks.com/campaigns/197/original/namecheap.png?1348118997,197,Namecheap - US
99723,Claim Your VPS Hosting Deal with 14% OFF Today!,Namecheap,Services,"Seize this amazing deal—get up to 14% OFF on your VPS hosting plans with Namecheap.Select from two incredible plans: PulsarQuasarEach option packs a punch with:8 speedy CPU cores12 GB RAM for efficient operations240 GB SSD RAID 10 for reliable storage6,000 GB bandwidth to support your needsOpen to all users—grab this offer now!",,"",https://linksredirect.com/?pub_id=203477&url=https://www.namecheap.com/,live,2025-05-23,2026-11-30,23/05/2025,https://cdn0.cuelinks.com/campaigns/197/original/namecheap.png?1348118997,197,Namecheap - US
99728,Get 50% Discount on Snacks for Match Day!,ITC Store,Food & Grocery,"Celebrate Match Day with snacks at half price!This amazing offer is for all snack lovers!Limited time only—grab it while you can!Don’t wait, dive in and save on your game-day treats!",,DEAL50,https://linksredirect.com/?pub_id=203477&url=https://itcstore.in/,live,2025-05-23,2026-09-23,23/05/2025,https://cdn0.cuelinks.com/campaigns/4435/original/New_Project_%2862%29_%281%29.png?1624193141,4435,ITC Store
99735,Business Insurance For Just Rs.1442.48/Month!,Namecheap,Services,Experience protection for data breaches and loss of sales.Includes coverage for business disruptions and legal costs.Join now for early access and start with your first month on us!All this for just Rs 1442.48/month!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.namecheap.com/,live,2025-05-23,2027-12-31,23/05/2025,https://cdn0.cuelinks.com/campaigns/197/original/namecheap.png?1348118997,197,Namecheap - US
99741,Harrods Offer - Men's Designer Polo Shirts Starts at $59,Harrods,Fashion,Dive into the world of Men's Designer Polo Shirts.Unbeatable starting price of just $59.Open to all customers!shop now and stand out!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.harrods.com,live,2025-05-23,2027-02-23,23/05/2025,https://cdn0.cuelinks.com/uploads/images/Placeholder-Campaign.png,2599,Harrods
99759,Harrods Coupon Code - Women's Activewear Online From $36,Harrods,Entertainment,Unlock women's activewear starting at just $36!Everyone can take advantage of this deal.Hurry—limited-time offer!Revamp your activewear collection today!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.harrods.com,live,2025-05-23,2027-09-30,23/05/2025,https://cdn0.cuelinks.com/uploads/images/Placeholder-Campaign.png,2599,Harrods
99767,Purchase Fine Earrings For Women Starts At $135,Harrods,Fashion,Shop our stunning collection of fine earrings.Prices start at an affordable $135.No purchase minimum required.Claim your savings and dazzle today!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.harrods.com,live,2025-05-23,2027-06-30,23/05/2025,https://cdn0.cuelinks.com/uploads/images/Placeholder-Campaign.png,2599,Harrods
99768,Grab Up to 65% Off on Grooming Products - From Just Rs.599!,Vijay Sales,"Food & Grocery,Entertainment,Services",Grooming tools available starting at Rs.599!No minimum order needed—shop freely.Limited time only—act fast!Revamp your grooming today!,,"",https://linksredirect.com/?pub_id=203477&url=http://www.vijaysales.com/,live,2025-05-23,2027-11-30,23/05/2025,https://cdn0.cuelinks.com/campaigns/4164/original/Vijay_sales.png?1597990342,4164,Vijay Sales
99771,Snag a Fantastic Rs.100 Discount with App Orders!,Moglix,Food & Grocery,Receive a Rs.100 discount when you order through our app.Just reach a minimum of Rs.2000 in your cart.This deal is for all customers—join the fun!Shop now and take advantage of this awesome offer!,,APP100,https://linksredirect.com/?pub_id=203477&url=http://www.moglix.com/,live,2025-05-23,2026-12-31,23/05/2025,https://cdn0.cuelinks.com/campaigns/2536/original/moglix.jpeg?1758697830,2536,Moglix
99786,Men's Fine Watches Online - Starts From $1700,Harrods,Travel,Dive into our exclusive collection of fine men's watches.Prices begin at $1700.Designed for all styles and tastes.Claim your savings and choose your favorite!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.harrods.com,live,2025-05-23,2027-05-31,23/05/2025,https://cdn0.cuelinks.com/uploads/images/Placeholder-Campaign.png,2599,Harrods
99790,Claim Your 15% Off + Free Shipping Today!,Zoomin,"Flowers & Gifts,Services","Input the coupon code for an exclusive 15% reduction.Enjoy free shipping on all orders—no minimum required.Perfect for personalized gifts, chic accessories, and beyond.Act fast, as this offer is time-sensitive!",,15FREESHIP,https://linksredirect.com/?pub_id=203477&url=https://www.zoomin.com,live,2025-05-23,2026-12-31,23/05/2025,https://cdn0.cuelinks.com/campaigns/147/original/New_Project_-_2024-04-15T162424.067.png?1713178481,147,Zoomin
99791,Razer Coupons- Hammerhead HyperSpeed For PlayStation From $149.99,Razer,"Electronics,Food & Grocery",Step into a new world of sound with Razer’s Hammerhead HyperSpeed.Starting at an unbeatable $149.99!Designed for gamers who demand the best audio.Claim your savings and enhance your gameplay!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.razer.com/,live,2025-05-23,2027-04-01,23/05/2025,https://cdn0.cuelinks.com/campaigns/5252/original/logo20250811-880075-1k6in4t.jpg?1754904038,5252,Razer CPS
99795,Razer Offer l BlackShark V2 Pro Starting At $199.99,Razer,"Electronics,Food & Grocery",Perfect match for PlayStation &amp; Xbox.Experience immersive gameplay.Just $199.99 for all customers.Grab This Deal and enhance your setup!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.razer.com/,live,2025-05-23,2027-08-31,23/05/2025,https://cdn0.cuelinks.com/campaigns/5252/original/logo20250811-880075-1k6in4t.jpg?1754904038,5252,Razer CPS
99797,Razer Coupon Code: Wolverine V2 Pro Starting @ $249.99,Razer,"Electronics,Food & Grocery",Get the ultimate Wolverine V2 Pro deal!Starting price now at just $249.99.No minimum transaction needed.Transform your gaming setup!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.razer.com/,live,2025-05-23,2027-08-30,23/05/2025,https://cdn0.cuelinks.com/campaigns/5252/original/logo20250811-880075-1k6in4t.jpg?1754904038,5252,Razer CPS
99800,Order Universal Grip Tape For Just $9.99,Razer,"Electronics,Food & Grocery",Pre-cut tape designed for a range of gaming peripherals.Just $9.99—snag this offer now!Enhance your grip for ultimate performance.Accessible to everyone—don’t delay!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.razer.com/,live,2025-05-23,2027-06-30,23/05/2025,https://cdn0.cuelinks.com/campaigns/5252/original/logo20250811-880075-1k6in4t.jpg?1754904038,5252,Razer CPS
99806,Get Flat 50% Off on Razer Phone 2,Razer,"Electronics,Food & Grocery",Unlock an extraordinary gaming journey with the Razer Phone 2.Take advantage of a flat 50% off—no hassle with codes!Act fast—this deal won't stick around forever!Shop today and level up your mobile experience!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.razer.com/,live,2025-05-23,2026-12-31,23/05/2025,https://cdn0.cuelinks.com/campaigns/5252/original/logo20250811-880075-1k6in4t.jpg?1754904038,5252,Razer CPS
99819,Save Big with Up to 25% Off Mobile Accessories!,Razer,"Electronics,Food & Grocery",Get your favorite mobile accessories at a whopping 25% OFF.Prices beginning at Rs $9.99.This deal is available for all users!Grab this deal and enhance your device today!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.razer.com/,live,2025-05-26,2027-10-31,26/05/2025,https://cdn0.cuelinks.com/campaigns/5252/original/logo20250811-880075-1k6in4t.jpg?1754904038,5252,Razer CPS
100001,Get Your Turkey Travel eSIM Today - Prices From Just Rs. 400!,EtravelSIM,Travel,Create your experience with data plans from 1GB to UnlimitedReceive free incoming calls with select local plans; no number needed for dataThis offer is valid for everyone – ideal for all adventurers!Starting from only Rs. 400 – seize the opportunity!,,"",https://linksredirect.com/?pub_id=203477&url=https://etravelsim.com/,live,2025-05-28,2026-12-31,28/05/2025,https://cdn0.cuelinks.com/campaigns/7401/original/download.jpeg?1722434377,7401,EtravelSIM
100160,Unleash Flavor with Our Italian Pizza & Pasta Sauce for Only ₹45!,Veeba,Food & Grocery,Get your hands on authentic Italian Pizza &amp; Pasta Sauce at a fabulous price!Shop easily at the Veeba website or on our mobile site.Starting price is just ₹45!This deal is available to all users—don’t miss out!,,"",https://linksredirect.com/?pub_id=203477&url=https://veeba.in/,live,2025-05-30,2026-12-31,30/05/2025,https://cdn0.cuelinks.com/campaigns/11193/original/New_Project_-_2025-05-29T182157.998.png?1748523131,11193,Veeba
100734,Get Flat Rs. 500 Discount Using Tata Neu Credit Cards Now!,Tata Cliq,Fashion,"Enjoy a brilliant Rs. 500 off your purchase with Tata Neu Credit Cards!Spend a minimum of Rs. 2,000 to unlock this amazing deal.Your everyday shopping just got more rewarding with Tata Neu.Secure and fast transactions await—claim your savings!",,NEUCARD,https://linksredirect.com/?pub_id=203477&url=https://www.tatacliq.com/,live,2025-05-19,2027-04-01,01/06/2025,https://cdn0.cuelinks.com/campaigns/2588/original/tata.png?1495706199,2588,Tata Cliq
100856,Discover the Future of Learning: AI Development Courses!,Skillshare,Education,Experience innovative online classes tailored for you with AI.All users can take advantage of this unique chance.Limited time only—secure your spot!Don’t wait; start your journey now!,,"",https://linksredirect.com/?pub_id=203477&url=https://www.skillshare.com/,live,2025-06-03,2027-05-30,03/06/2025,https://cdn0.cuelinks.com/campaigns/4342/original/Skillshare-Storelogo.jpg?1672210323,4342,skillshare
101112,Snag ₹100 Off on Kitchen Cleaners & Dishwash Liquids!,Happilo,"Food & Grocery,Entertainment,Services",Grab ₹100 off when you buy liquid gel or kitchen cleaner.Minimum spending of ₹200 required.All customers are welcome to take advantage!Shop now and enjoy cleaner spaces!,,"",https://linksredirect.com/?pub_id=203477&url=https://happilo.com/,live,2025-06-09,2026-12-31,09/06/2025,https://cdn0.cuelinks.com/campaigns/4954/original/New_Project_%2895%29.png?1666339974,4954,Happilo
101122,Special Promotion: Grab Rs.2500 Off on Hotels – Book Today!,Agoda,Others,Snag a discount of up to Rs.2500 on your next hotel stay.Just apply the coupon code when you check out.Accessible to all customers.Hurry and claim this exciting deal!,,AGODADEAL5,https://linksredirect.com/?pub_id=203477&url=http://www.agoda.com/en-in,live,2025-06-09,2026-12-31,09/06/2025,https://cdn0.cuelinks.com/campaigns/326/original/Agoda.png?1516080108,326,Agoda
101123,Grab Up to ₹4500 Discount on Your Bookings Now!,Agoda,Software,Score up to ₹4500 off your booking total!Requires a minimum purchase of ₹9170 to benefit.Use the unique code to claim your savings.Act fast - book your trip right away!,,AGODADEAL8,https://linksredirect.com/?pub_id=203477&url=http://www.agoda.com/en-in,live,2025-06-09,2026-09-30,09/06/2025,https://cdn0.cuelinks.com/campaigns/326/original/Agoda.png?1516080108,326,Agoda
101388,Get Rs.150 Off Your Order When You Buy 2 Products!,Bliss Club,Fashion,"Select any 2 items and save Rs.150 right away!Just enter the promo code at the checkout stage.Hurry, stock is limited!Start shopping and take advantage of this offer!",,BLISS150,https://linksredirect.com/?pub_id=203477&url=https://blissclub.com/,live,2025-06-12,2026-12-31,12/06/2025,https://cdn0.cuelinks.com/campaigns/5799/original/New_Project_-_2023-12-13T174443.358.png?1702469696,5799,Bliss Club
101869,Save 20% on Men's Endurance Boost!,Travis Perkins UK,"Food & Grocery,Entertainment,Services", Get 20% off with our Men's Endurance Boost offer. Valid for all customers seeking to improve! Supercharge your endurance. Don't miss out—grab this deal now! ,,"",https://linksredirect.com/?pub_id=203477&url=https://swisse.co.in/,live,2025-06-18,2027-01-18,18/06/2025,https://cdn0.cuelinks.com/campaigns/7137/original/download.jpeg?1720438644,7137,Travis Perkins UK
101948,Enjoy Up to Rs.2500 Off Flights on Air India,Air India,Software,"Take advantage of amazing discounts - save up to Rs.2500!Available exclusively at Air India's website and m-site.Remember to apply your coupon code before payment.Don’t wait, grab this offer now!",,NBPROMO,https://linksredirect.com/?pub_id=203477&url=https://www.airindia.com/,live,2025-06-19,2026-12-31,19/06/2025,https://cdn0.cuelinks.com/campaigns/5622/original/New_Project_-_2024-03-20T124625.923.png?1710919013,5622,Air India
102053,"Buy OnePlus 13s at Rs.54,999 + Bank Cashback!",Vijay Sales,Food & Grocery," Purchase the OnePlus 13s for only Rs.54,999 today. Enjoy up to Rs.5000 off with our special bank offer. Your perfect smartphone is just a click away! Grab This Deal and elevate your mobile game! ",,"",https://linksredirect.com/?pub_id=203477&url=http://www.vijaysales.com/,live,2025-06-23,2026-12-31,23/06/2025,https://cdn0.cuelinks.com/campaigns/4164/original/Vijay_sales.png?1597990342,4164,Vijay Sales
102248,Men’s Mercerized Polos Starting Rs.1439,Travis Perkins UK,Fashion,Indulge in our sleek mercerized polo shirts.Exceptional quality at a starting price of Rs.1439!Versatile pieces for a polished look every time.Claim your savings – available to everyone!,,"",https://linksredirect.com/?pub_id=203477&url=https://metzii.co.in/,live,2025-06-24,2027-11-24,24/06/2025,https://cdn0.cuelinks.com/campaigns/7137/original/download.jpeg?1720438644,7137,Travis Perkins UK
102249,Men's Structured Polo T-Shirts From Rs.1124!,Travis Perkins UK,Fashion, Find the perfect fit and fabric for your needs. Versatile design suitable for every occasion. Starting at an unbeatable price of Rs.1124! This deal is open to everyone—don’t miss out! ,,"",https://linksredirect.com/?pub_id=203477&url=https://metzii.co.in/,live,2025-06-24,2028-03-24,24/06/2025,https://cdn0.cuelinks.com/campaigns/7137/original/download.jpeg?1720438644,7137,Travis Perkins UK
102266,Score Big on Our Stylish Solid Polos!,Travis Perkins UK,Fashion,  Find your favorite solid polos starting at Rs.899.  Open to all! New users and loyal fans welcome.  Quality fashion at prices you’ll love.  Shop now and refresh your closet today!  ,,"",https://linksredirect.com/?pub_id=203477&url=https://metzii.co.in/,live,2025-06-24,2027-04-30,24/06/2025,https://cdn0.cuelinks.com/campaigns/7137/original/download.jpeg?1720438644,7137,Travis Perkins UK
102461,Watch Rangeen Kahaniyan Lengha Chunri Season 2 on ALTBalaji!,Tata Neu App,Entertainment,"Sign up for ALTBalaji today and enjoy 'Rangeen Kahaniyan Lengha Chunri Season 2​​​​​​​'!Genres: Crime, Suspense, Adult Content.Lead actors include: Manvi Chugh, Manisha Jain, Sofiya Shaikh, &amp; additional stars.Annual subscriptions start at Rs 300!",,"",https://linksredirect.com/?pub_id=203477&url=https://play.google.com/store/apps/details?id=com.balaji.alt,live,2025-06-27,2028-04-27,27/06/2025,https://cdn0.cuelinks.com/campaigns/4908/original/New_Project_-_2024-12-30T155157.123.png?1735554135,4908,Tata Neu Super App - CPT
102695,Welcome Offer: Get 10% Off Your First Order at Petsy,Petsy (CPS),Fashion,Grab an exclusive 10% discount on your first purchase with Petsy!Simply spend a minimum of Rs.1799 to qualify.Great opportunity to treat your pets to something special!Get in on the deal and start shopping now!,,WARMWELCOME,https://linksredirect.com/?pub_id=203477&url=https://www.petsy.online/,live,2025-06-30,2027-01-31,30/06/2025,https://cdn0.cuelinks.com/campaigns/7901/original/download.png?1729495814,7901,Petsy
102697,Enjoy a 5% Discount on Orders Above Rs.1999!,Petsy (CPS),Fashion,Receive 5% off on orders of Rs.1999 or higher!Limited offer—act quickly!Perfect time to pamper your pets and save.Take advantage of this deal today!,,PETSY5,https://linksredirect.com/?pub_id=203477&url=https://www.petsy.online/,live,2025-06-30,2026-12-28,30/06/2025,https://cdn0.cuelinks.com/campaigns/7901/original/download.png?1729495814,7901,Petsy
102978,Up to 10% Off Plus Extra 10% On All Products!,The Ayurveda Experience,"Food & Grocery,Entertainment,Services",Get up to 10% OFF on everything you buy!Enter the code for an extra 10% savings.Discover prices starting at just Rs 149.Don't wait—this offer is for new &amp; loyal shoppers alike!,,TAEOPTIMISE10,https://linksredirect.com/?pub_id=203477&url=https://tae.in/,live,2025-07-01,2027-09-30,01/07/2025,https://cdn0.cuelinks.com/campaigns/5128/original/logo20250811-880075-lwxovb.jpg?1754903722,5128,TAE
103186,Free Shipping on Your Purchase Awaits!,Miraggio,Fashion,Get your items delivered free—no strings attached.Available for all shoppers without any limits!Make your purchase now and enjoy free shipping.Your chance to save while you shop is here!,,"",https://linksredirect.com/?pub_id=203477&url=https://miraggiolife.com/,live,2025-07-03,2029-02-28,03/07/2025,https://cdn0.cuelinks.com/campaigns/4905/original/29086-6073db2952b57083.jpg?1664273851,4905,Miraggio
103190,Mini Bags Blowout: Grab Up to 55% Off!,Miraggio,Fashion,Get an incredible up to 55% off on chic mini bags!Starting at just Rs.1099!Accessible to all—shop and save!Don't wait—claim these deals now!,,"",https://linksredirect.com/?pub_id=203477&url=https://miraggiolife.com/,live,2025-07-03,2027-02-28,03/07/2025,https://cdn0.cuelinks.com/campaigns/4905/original/29086-6073db2952b57083.jpg?1664273851,4905,Miraggio
103192,Score Free Shipping with Every Order You Make!,Miraggio,Fashion,"Check out our fabulous selection of bags at Miraggio.Take advantage of free shipping with any purchase!All customers can access this amazing offer.Pay your way, and enjoy the free delivery!",,"",https://linksredirect.com/?pub_id=203477&url=https://miraggiolife.com/,live,2025-07-03,2027-06-03,03/07/2025,https://cdn0.cuelinks.com/campaigns/4905/original/29086-6073db2952b57083.jpg?1664273851,4905,Miraggio
103194,Get at Least 20% Off on Must-Have Handbags!,Miraggio,Fashion,Snag a minimum discount of 20% on our stunning handbag selection.Find the perfect bag that fits your unique style.This fabulous offer is here for a short time only!Claim your savings and shop today!,,"",https://linksredirect.com/?pub_id=203477&url=https://miraggiolife.com/,live,2025-07-03,2026-12-31,03/07/2025,https://cdn0.cuelinks.com/campaigns/4905/original/29086-6073db2952b57083.jpg?1664273851,4905,Miraggio
103198,Trendy Bags for Every Budget: Under Rs.1999!,Miraggio,Fashion,"Shop stylish bags without breaking the bank; all available for under Rs.1999!Available for every customer, so why not treat yourself?Select from diverse designs that suit your taste.Seize the moment—claim your savings today!",,"",https://linksredirect.com/?pub_id=203477&url=https://miraggiolife.com/,live,2025-07-03,2027-03-31,03/07/2025,https://cdn0.cuelinks.com/campaigns/4905/original/29086-6073db2952b57083.jpg?1664273851,4905,Miraggio
103366,Get £20 Off Flights of £200+ with Clearpay - Book Now!,Fly Fairly,Travel,"Save £20 on your flight booking today!Select from British Airways, Ryanair, easyJet, and many more.Ensure your booking hits at least £200.Checkout easily with Clearpay.",,CLEARPAY20,https://linksredirect.com/?pub_id=203477&url=https://flyfairly.com/,live,2026-02-03,2026-12-31,04/07/2025,https://cdn0.cuelinks.com/campaigns/12020/original/New_Project_-_2025-07-02T152624.884.png?1751450203,12020,Fly Fairly
103377,Unlock Extra 5% Savings on Your Brand Favorites!,Amama,Others,Shop from our Brands section and snag an extra 5% discount!Spend Rs 3000 or more to get 1 item at 5% OFF!This offer excludes: BahaarAMORAkoya collectionDon't miss out—claim your savings now!,,EXTRA5,https://linksredirect.com/?pub_id=203477&url=https://www.amama.in/,live,2025-07-04,2027-08-04,04/07/2025,https://cdn0.cuelinks.com/campaigns/5206/original/154224227_1649682825234363_5815813401342297286_n.png?1681738922,5206,Amama
103394,Save Big – 65% Off on the Digital Air Fryer (4.5L),Solara,Food & Grocery,"    Revolutionize your cooking with the Digital Air Fryer (4.5L)!    With a see-through window, watch your delicious creations unfold.    Absolutely no promo code needed – everyone can benefit!    Get it now for just Rs.6599 – claim your savings before it’s gone!",,"",https://linksredirect.com/?pub_id=203477&url=https://www.solara.in/,live,2025-07-04,2028-02-29,04/07/2025,https://cdn0.cuelinks.com/campaigns/9529/original/download.png?1734673648,9529,Solara CPS
103398,Get Rs.3000 Off on Digital Air Fryer - Plus Free Recipes!,Solara,Food & Grocery,  Take advantage of a flat Rs.3000 discount on our Digital Air Fryer!  Featuring 8 easy-to-use cooking presets for perfect meals.  Receive a fantastic Air Fryer Recipe Book with your purchase!  Hurry and Grab This Deal while it lasts!  ,,"",https://linksredirect.com/?pub_id=203477&url=https://www.solara.in/,live,2025-07-04,2027-04-04,04/07/2025,https://cdn0.cuelinks.com/campaigns/9529/original/download.png?1734673648,9529,Solara CPS
